CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A009;A010;A010_05;A011;A011_07;A012;A012_01;A012_02;A012_03;A012_04;A012_05;A012_06;A012_07;A012_08;A012_09;A012_09a;A014;B003;B003_01;B003_02;B003_03;B003_04;B003_05;B003_06;B003_07;B003_07a;B004;B005_01;B006;B007_01;B008;B008_01;B008_02;B008_03;B008_04;B008_05;B008_06;B008_06a;B009;B009_01;B010;B015;B015_01;B015_02;B015_03;B015_04;B015_05;B015_06;B015_07;B015_08;B011;B011_03;B012;B013;B013_01;B016_CN;B016x01;B016x11;B016x12;B016x13;B016x02;B016x21;B016x22;C001;C001_01;C001_02;C001_03;C001_04;C001_05;C001_06;C001_07;C001_08;C001_08a;C001_09;C002;C002_01;C002_02;C002_03;C002_04;C002_05;C002_06;C002_07;C002_08;C002_08a;C002_09;C003;C003_01;C003_02;C003_03;C003_04;C003_05;C003_06;C003_07;C003_08;C003_09;C003_09a;C003_10;C004;C004_01;C004_02;C004_03;C004_04;C004_05;C004_05a;C004_06;C005;C005_01;C006;C006_01;C006_02;C006_03;C006_04;C006_05;C006_06;C006_07;C006_08;C006_08a;C006_09;C007_01;D008;D002;D001_01;D003;D004_01;D005_01;D006_01;D007;;;;;;;;;;;;;;;;;;;;;;;;
1136;;;base;interview;12.08.2019 10:01;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;3;3;2;2;2;1;1;1;1;;3;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;2;1;1;1;1;1;1;2;2;If my collegues need to know, they can ask me;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;Comparison;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1137;;;base;interview;12.08.2019 10:04;276;4;;;;1;1;2;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1138;;;base;interview;12.08.2019 10:14;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;3;2;2;1;2;1;1;1;1;;1;I collect observation data from my experiments (observations, reaction parameters etc.) in my lab journal. This data will be typed partly in a word document (or comparable) to be used for the PhD thesis or publications.;2;Only some mass spectra are printed and then evaluated manually. Everything else is completely digital.;3;2;2;2;1;1;1;;2;;1;2;1;2;1;2;1;1;1;1;1;;3;1;a word file as a selfmade solution;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;For a joint publication;2;1;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1140;;;base;interview;12.08.2019 10:18;276;1;;3;;2;1;2;1;1;2;1;1;1;1;;9;3;2;2;2;1;1;1;1;;1;"Synthetic procedures and observations
analytical data like optical rotations, NMR shift assignments";2;"NMR shift assignments are done manually by writing the shifts on a printed out or drawn structure.
The spectra analyzed digitally though";3;2;2;2;1;1;1;;2;;1;6;2;2;2;2;2;2;1;1;1;;3;2;;1;1;1;1;1;2;2;1;3;2;2;2;1;1;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;3;1;1;1;2;1;2;2;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;to reenact synthetic procedures or strucutre assignments;1;1;;1;;;automation, easy to handle and understandable folder system;2;;;;;;;;;;;;;;;;;;;;;;;;
1146;;;base;interview;12.08.2019 12:05;276;2;;7;Privatdozent and Groupleader ;1;1;1;2;1;1;1;1;1;1;;6;1;1;1;2;1;1;1;1;;2;;1;The asignment of the Pulse Radiolysis data ;3;2;1;2;1;2;1;;1;according to internal rules;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;1;2;1;1;2;1;2;for some data I am leagaly prohibited to share them (e.g., projects with commercial partners);1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;I can not make of any such services, since all data are assumed as instituts property, I am not allowed to give any of these data to outside sources, any reasonable outside claim to review raw data needs to be addressed to the director.;I can not make of any such services, since all data are assumed as instituts property, I am not allowed to give any of these data to outside sources, any reasonable outside claim to review raw data needs to be addressed to the director.;2;;;;;;;;;;;;;;;;;;;;;;;;
1147;;;base;interview;12.08.2019 12:11;276;2;;2;;1;1;1;1;1;1;1;2;1;1;;4;3;2;1;2;2;1;1;1;;2;;1;;4;2;2;2;2;1;1;;1;Specific drive with foulder structur;1;4;1;1;2;2;2;2;1;1;1;;1;2;;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;2;1;1;;1;;1;1;;2;;;uniform structure of data management for the whole institute;2;;;;;;;;;;;;;;;;;;;;;;;;
1163;;;base;interview;12.08.2019 13:08;276;2;;2;;1;1;1;1;1;1;1;2;1;1;;4;2;2;1;1;2;1;1;1;;3;;1;;1;1;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;2;1;1;2;2;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1164;;;base;interview;12.08.2019 13:21;276;2;;3;;2;1;1;2;1;2;1;1;1;1;;9;2;1;2;1;2;1;1;1;;2;;2;Peak assignment and identification between theoretical and experimental data.;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;A better IT department;Trust in local IT department;1;;;;;;;;;;;;;;;;;;;;;;;;
1165;;;base;interview;12.08.2019 13:55;276;1;;7;Apprentice;1;1;2;1;1;1;1;1;1;1;;2;2;2;1;2;1;1;1;1;;1;chromatographic data (fractions, Rf-Values);2;mass spectroscopy or elemental analysis;1;1;1;1;2;1;1;;1;as much as possible in electronic system;2;;;;;;;;;;;;;1;Chemotion-ELN;;;;;;;;;3;2;2;1;1;1;1;2;1;;1;4;2;2;1;2;1;2;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;2;1;1;;1;1;Chemotion-Repository;1;2;1;1;1;1;1;1;1;;1;comparison of data;1;3;;1;Repository;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1166;;;base;interview;12.08.2019 13:56;276;1;;4;;1;1;2;1;1;1;1;1;1;1;;1;2;2;1;2;1;1;1;1;;1;"elemental analysis
mass spectrometry
chromatographic data (gradients, fractions)
Rf values

";2;"fragmentations of mass spectra
data of elemental analysis
";1;1;1;1;2;1;1;;1;archive data in a structured way in the electronic lab journal;3;;;;;;;;;;;;;1;Chemotion-ELN;;;;;;;;;3;2;2;1;1;1;1;2;1;;1;5;2;2;1;2;2;2;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;2;1;1;;1;1;Chemotion-Repository;3;2;2;2;1;1;1;1;1;;1;comparison of data;1;3;;1;Chemotion-Repository;;analysis of various types of data should be possible;2;;;;;;;;;;;;;;;;;;;;;;;;
1168;;;base;interview;12.08.2019 16:41;276;1;;8;;2;1;2;1;1;1;1;1;2;1;;6;2;2;1;2;1;1;1;1;;2;;2;Print out spectra and analyse or compare by hand. ;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;1;1;2;1;;1;2;1;2;1;1;1;2;1;1;;1;1;1;1;1;1;1;2;1;1;1;;1;1;2;1;1;1;1;;1;1;LOGS;3;2;2;2;1;1;1;1;1;;1;to check the anaylsis method;1;1;;1;LOGS;;wider exchange and comparison of data;2;;;;;;;;;;;;;;;;;;;;;;;;
1170;;;base;interview;12.08.2019 17:38;-9;-9;;;;0;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1171;;;base;interview;12.08.2019 17:46;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;4;5;2;2;2;1;2;2;1;;3;;1;;4;2;2;2;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;;1;1;;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1172;;;base;interview;12.08.2019 17:47;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;2;3;2;1;2;1;2;1;1;;1;All except for X-Ray data;3;;2;1;2;2;1;1;1;;1;Partially on BlueRay;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;2;1;1;1;;1;1;CCDC, SDBS;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;Paperwork;2;;;;;;;;;;;;;;;;;;;;;;;;
1174;;;base;interview;12.08.2019 19:36;276;2;;3;;1;1;1;1;1;1;1;2;1;1;;2;3;2;1;2;2;1;1;1;;1;mass (balance);1;;4;2;2;2;1;2;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;2;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;1;1;1;1;2;1;1;;1;characterization of reference;1;3;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1180;;;base;interview;13.08.2019 09:40;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;2;4;2;1;2;1;2;2;1;;2;;1;;4;2;2;2;2;1;1;;2;;1;4;2;2;2;1;2;1;1;1;1;;1;2;;1;1;1;1;1;2;2;1;2;2;1;1;1;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;2;2;1;2;1;1;1;1;1;;1;for synthesis;1;2;no server;2;;a programm and a server;safe storage;2;;;;;;;;;;;;;;;;;;;;;;;;
1183;;;base;interview;13.08.2019 10:11;276;1;;4;;2;2;2;1;1;1;1;1;1;1;;9;4;2;1;2;2;2;1;1;;2;;2;"GC-Analysis
Spectrum Print and determine the percentage of educt and product using reference peak and area.";1;1;1;1;2;1;1;;1;yearly saved at a server;2;;;;;;;;;;;;;1;Toshiba Satellite;;;;;;;;;3;2;2;1;2;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;If we are using the same material and have performed standard testing methods;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1186;;;base;interview;13.08.2019 12:34;276;6;;3;;1;1;2;1;1;1;1;1;1;1;;3;3;2;1;2;1;2;1;1;;2;;2;mass spectra partly are received as prints, which are then transferred analogue;3;2;2;2;1;1;1;;1;prints have to be put in folders, data have to be put together ;1;3;2;1;2;1;1;2;1;1;1;;2;1;Chemotion;1;2;1;2;1;1;1;1;3;2;2;1;1;1;1;2;1;;1;2;2;1;1;1;1;2;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;1;chemotion repository;2;2;1;2;1;1;1;1;1;;1;synthesis of compounds;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1188;;;base;interview;13.08.2019 13:01;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;4;3;2;1;2;1;2;1;1;;2;;1;;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;1;ZIM, MBook, self-made Version of a ELN;;;;;;;;;4;1;2;1;1;2;1;2;2;MDisk, OPARA-Project;1;4;2;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;2;2;2;1;1;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;New Interpretation from a new point of view and comprehensive with one data;1;1;;1;OPARA Project in Saxonia;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1189;;;base;interview;13.08.2019 13:01;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;2;4;2;1;2;2;1;2;1;;2;;2;Using the balance to determine the yield, setting certain volumes without any software;1;1;1;1;2;1;1;;2;;1;3;2;1;2;1;1;2;1;1;1;;3;2;;1;1;1;1;1;2;1;2;3;1;2;1;2;1;2;1;1;;1;4;1;2;1;2;2;2;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;1;nist, scifinder;1;2;1;1;1;1;1;1;1;;1;confirming and extending them;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1191;;;base;interview;13.08.2019 13:06;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;2;2;1;1;2;1;1;1;2;calorimetric data;1;"- Weight of dried samples: Note the weights displayed by the scale. These are entered in a prepared grid with the sample names
- pH values of solutions: Note the pH values displayed by the pH meter. These are entered in a prepared grid with the sample nam";1;;1;1;1;1;2;1;1;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;2;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;2;2;2;1;1;1;1;1;1;;1;Additional illustrations for presentations;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1192;;;base;interview;13.08.2019 13:06;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;1;4;2;1;2;2;1;2;1;;3;;1;;1;1;1;1;2;1;1;;2;;3;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;1;2;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1193;;;base;interview;13.08.2019 13:08;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;1;6;2;2;2;2;2;2;1;;1;experimental datas as weight, gas flow, reaction temperature, room temperature, volume, stiring rate, visible effects, time, pressure. ;3;;1;1;1;1;2;1;1;;3;;1;4;1;2;2;1;1;2;2;1;1;;1;2;;1;1;1;1;1;2;2;1;2;1;2;1;1;2;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;2;1;1;1;2;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;repeating/verifing experiments ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1195;;;base;interview;13.08.2019 13:26;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;2;3;2;1;2;1;2;1;1;;1;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;2;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1196;;;base;interview;13.08.2019 13:27;276;1;;5;;1;1;1;1;1;2;1;1;1;1;;3;1;1;2;1;1;1;1;1;;2;;1;;1;1;1;1;1;2;1;;2;;2;0;1;1;1;1;1;1;1;1;-9;;;3;;;;;;;;;;4;2;2;2;1;2;1;1;1;;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;1;1;1;2;1;;1;1;CCCBDB, NIST;2;1;1;2;2;1;1;1;1;;1;self-teaching, exercise, comparisons;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1198;;;base;interview;13.08.2019 14:24;276;1;;1;;1;1;2;1;1;1;1;1;1;1;;8;5;2;2;2;2;2;1;1;;2;;1;;4;2;2;2;2;1;1;;1;data base established;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;1;2;1;1;;1;2;1;2;2;1;1;1;1;1;;1;3;1;1;2;1;1;2;2;1;1;;1;2;2;2;1;1;1;;1;1;pdb;2;1;2;1;2;1;1;1;1;;1;protein structure analysis;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1199;;;base;interview;13.08.2019 14:47;276;1;;8;;1;1;2;1;1;1;1;1;1;1;;5;3;2;1;2;1;2;1;1;;2;;2;(1) observation during the synthesis, (2) observations during single x-ray diffraction, (3), printing and analysis of tables of bond lengths, interactions and so on, (4) printing and peak identifying and comparison of IR, sometimes NMR  data;3;2;2;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;2;2;1;1;1;2;printed, on paper (written by hand);1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;2;1;1;1;1;;1;1;CSD, ICSD;4;2;2;2;2;1;1;1;1;;1;crystal structure analysis (comparison with own data);1;1;;2;internal databases and archive servers (institute and university);;missing meta data for a improved search and analysis of older data;2;;;;;;;;;;;;;;;;;;;;;;;;
1200;;;base;interview;13.08.2019 15:03;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;9;3;2;1;2;1;2;1;1;;1;"- Observations during the crystallisation process, like colour changes, solubility and crystal habit.
- Results of elemental analysis, which are handed to me as printouts
- Determination of melting points
-> all of these data are then written into Word do";2;"- melting points: The crystals are observed through an optic microscope and temperatures are measured with an ordinary glass thermometer, noted, and then written into an excel sheet
";1;1;1;1;2;1;1;;1;everything has to be archived;1;2;1;1;2;1;1;1;2;1;1;;4;2;;1;1;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;;1;3;1;1;1;2;2;1;2;1;1;;1;1;1;1;1;2;1;;1;1;CSD/CCDC, ICSD, Reaxys, Scifinder, AIST Spectral Database;2;1;1;2;2;1;1;1;1;;1;I analyse the motifs in crystal structures of other scientists if the substance in question is similar to those I crystallise myself;1;1;;2;;an electronic lab notebook;the absence of an electronic lab notebook is tedious;2;;;;;;;;;;;;;;;;;;;;;;;;
1203;;;base;interview;13.08.2019 16:59;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;4;4;2;2;2;2;1;1;1;;2;;1;;4;2;2;2;2;1;1;;1;our own server with data;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;1;1;2;1;1;1;;1;3;1;2;2;2;1;1;1;1;;1;2;1;1;1;2;2;1;1;1;1;;1;1;2;1;1;1;1;;1;1;reaxys, sci-finder;1;1;1;1;1;1;1;1;1;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1209;;;base;interview;14.08.2019 09:01;276;1;;3;;1;2;1;1;1;1;1;1;1;1;;1;4;2;1;2;2;1;1;2;Material data (hardness, ...);1;"Layer Thickness
";1;;1;1;1;1;2;1;1;;1;especially raw data must be archived;1;3;2;1;2;1;2;1;1;1;1;;1;2;;0;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;;1;2;1;2;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;2;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1211;;;base;interview;14.08.2019 09:42;276;2;;2;;1;1;1;2;1;1;1;1;1;1;;4;3;2;1;2;1;1;1;2;Micrographs;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;2;2;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;2;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1214;;;base;interview;14.08.2019 09:44;276;2;;3;;1;1;1;2;1;1;1;1;1;1;;9;3;2;1;2;2;1;1;1;;1;power, distances, sizes;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1216;;;base;interview;14.08.2019 09:49;276;2;;3;;1;1;1;2;1;1;1;1;1;1;;9;1;1;1;1;1;1;1;2;spectroscopy data;2;;1;;4;2;2;2;2;1;1;;1;save raw data, sorted data, and processed data;2;;;;;;;;;;;;;2;;;;;;;;;;5;2;2;2;2;2;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;2;1;1;1;1;1;1;2;2;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;1;2;I measure all my data on  my own;1;I did not;1;1;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
1220;;;base;interview;14.08.2019 09:54;276;1;;3;;2;1;1;2;1;1;1;1;1;2;image analysis and satistical modeling;4;2;1;1;2;2;1;1;1;;3;;1;;3;2;2;1;2;1;1;;3;;1;4;2;1;2;2;2;1;1;1;1;;3;3;;1;1;1;1;1;2;1;2;4;2;2;1;2;1;2;1;1;;1;2;1;2;2;1;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;;2;1;1;1;1;2;1;;1;2;;3;2;2;1;1;1;1;2;1;;1;To established new methods and compare it with the previous methods based on same data set;2;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1221;;;base;interview;14.08.2019 09:54;276;1;;3;;2;1;1;2;1;1;1;1;1;2;Chemometrics;3;1;1;1;2;1;1;1;1;;3;;1;;2;2;2;1;1;1;1;;2;;1;1;1;1;2;1;1;1;1;1;1;;1;2;;1;1;1;1;1;2;1;1;2;2;1;1;1;1;2;1;1;;1;3;1;2;2;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;1;2;1;1;1;1;;1;2;;2;2;1;1;2;1;1;1;1;;1;analysis;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1222;;;base;interview;14.08.2019 10:00;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;3;1;1;2;1;1;1;1;1;;1;ideas, concepts, short manual calculations;1;;4;2;2;2;1;2;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;2;2;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;3;1;1;2;2;1;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;4;2;2;2;2;1;1;1;1;;1;research ...;1;2;I said we don't not that we can't.;2;;;"we need a backuped server with a lot of space for our huge amount of data; we also need en ELN to store and share our data reusable for others";2;;;;;;;;;;;;;;;;;;;;;;;;
1228;;;base;interview;14.08.2019 10:05;276;1;;3;;2;2;2;1;1;1;1;1;1;1;;9;5;2;1;2;1;2;2;2;magnetic data;2;;2;assign peaks in mass spectra/NMR spectra;4;2;2;2;2;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;3;2;1;1;2;2;1;1;1;;1;3;1;1;2;2;2;1;1;1;;1;4;1;1;2;2;2;1;2;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;;1;1;;2;;server/cloud with enough space to safe all data;;2;;;;;;;;;;;;;;;;;;;;;;;;
1229;;;base;interview;14.08.2019 10:10;276;1;;3;;1;1;2;1;1;1;1;1;1;1;;9;4;2;2;2;1;2;1;1;;1;observatory data on substances and reactions, non-electronic data from diveces like melting tables, electronic data from diveces which data only can be read by other diveces;3;;2;2;1;2;1;1;1;;2;;2;;;;;;;;;;;;;2;;;;;;;;;;4;2;2;1;2;2;1;1;1;;1;2;1;2;1;1;2;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;1;data transfer service of my university;I don´t know;storage of  data and how many times;2;;;;;;;;;;;;;;;;;;;;;;;;
1230;;;base;interview;14.08.2019 10:10;276;1;;3;;1;1;1;2;1;1;1;1;1;1;;9;1;1;1;2;1;1;1;1;;1;Experiments are first noted into the lab book and the lab book later scanned for a digital safety copy. Results of measurements on devices are immetiately stored digital.;1;;3;2;2;2;1;1;1;;1;Lab book + Digital copy of all data and written versions of paper draft after publication;2;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;1;2;1;1;1;;1;3;1;1;1;2;2;2;1;1;;1;2;1;1;1;2;1;2;1;1;1;;1;1;1;1;1;2;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;1;1;;2;;;PhD student should be offered hands on training, how data management should be done instead of pointing out only guildlines e.g. Early labbook inspection including comments possible improvements.;2;;;;;;;;;;;;;;;;;;;;;;;;
1232;;;base;interview;14.08.2019 10:11;276;2;;3;;2;1;1;2;1;1;1;1;2;1;;4;2;2;1;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;1;upload all data to a server;1;2;1;1;1;1;2;2;1;1;2;;1;2;;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;;1;3;1;2;1;2;2;1;1;1;;1;1;1;1;1;1;1;1;1;2;1;;1;2;2;2;1;1;1;;1;2;;1;1;1;1;1;1;1;2;1;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1234;;;base;interview;14.08.2019 10:15;276;1;;3;;1;1;1;1;1;2;1;1;1;1;;2;2;1;2;2;1;1;1;1;;2;;1;;1;1;1;1;2;1;1;;2;;2;;;;;;;;;;;;;1;Scinote;;;;;;;;;2;1;2;1;1;1;2;1;1;;1;2;2;2;1;1;1;1;1;1;;1;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;Previous simulation data was used as input for more advanced simulations;1;2;Our hardware infrastructure and administrator are not implementing it;1;Scinote, Nextcloud, rcsb.org;Qualified administrator to install the software;Hosting of the server infrastructure;2;;;;;;;;;;;;;;;;;;;;;;;;
1235;;;base;interview;14.08.2019 10:17;276;1;;1;;2;1;1;2;1;1;1;1;1;2;Optics;8;2;1;2;1;2;1;1;1;;2;;1;;2;2;1;2;1;1;1;;1;modelled after the DFG rules;2;;;;;;;;;;;;;2;;;;;;;;;;2;1;2;1;2;1;1;1;1;;1;4;1;1;2;2;2;1;1;2;GitLab and GitHub for Software;1;3;1;1;2;2;2;1;1;1;1;;1;1;1;1;1;2;1;;1;2;;3;2;2;2;1;1;1;1;1;;1;To analyse it with a different algorithm;2;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1237;;;base;interview;14.08.2019 10:20;276;2;;7;Group leader;1;1;1;2;1;1;1;1;1;1;;8;1;1;1;2;1;1;1;1;;2;;1;;2;2;1;1;1;2;1;;1;Raw data from publications are deposited in an archive. ;1;3;1;1;2;1;2;2;1;1;1;;2;2;;1;1;1;1;1;2;2;1;3;2;1;1;2;1;1;2;1;;1;1;1;2;1;1;1;1;1;1;;1;1;1;2;1;1;1;1;1;1;1;;1;1;2;1;1;1;1;;1;2;;1;2;1;1;1;1;1;1;1;;1;Inclusion to reports and publication;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
